余杭, 167.91平米 ,14人关注 ,318,此房满2年，小区中间位置，一楼带大花园，精装修,东海水景城 ,https://hz.lianjia.com/ershoufang/103101979580.html,单价18939元/平米, 24天以前发布, 4室2厅 , 共23次带看 
余杭, 125.95平米 ,24人关注 ,380,亲亲家园一期 楼层好 采光好 房东诚心卖,亲亲家园一期 ,https://hz.lianjia.com/ershoufang/103101593362.html,单价30171元/平米, 4个月以前发布, 2室2厅 , 共102次带看 
余杭, 133.04平米 ,65人关注 ,398,大三房大面积，中上楼层东边套，赠送约9平方储藏室,亲亲家园三期 ,https://hz.lianjia.com/ershoufang/103101657498.html,单价29916元/平米, 4个月以前发布, 3室2厅 , 共49次带看 
余杭, 56.83平米 ,63人关注 ,135,满五唯一 业主自住精装修 看房方便,复地连城国际 ,https://hz.lianjia.com/ershoufang/103101982109.html,单价23756元/平米, 24天以前发布, 1室1厅 , 共11次带看 
余杭, 149.7平米 ,3人关注 ,360,盛世嘉园  满五唯一精装35万 幼儿园边上,盛世嘉园 ,https://hz.lianjia.com/ershoufang/103102000104.html,单价24049元/平米, 17天以前发布, 4室2厅 , 共2次带看 
余杭, 86.75平米 ,116人关注 ,258,沿白鹭公园，精装，客厅大阳台，视野好采光佳，满五年,良渚文化村白鹭郡南 ,https://hz.lianjia.com/ershoufang/103101864819.html,单价29741元/平米, 2个月以前发布, 3室2厅 , 共25次带看 
余杭, 57.72平米 ,7人关注 ,85,宏丰家居城 40年商住 精装修,杭州宏丰家居城宏丰公寓 ,https://hz.lianjia.com/ershoufang/103102012315.html,单价14727元/平米, 12天以前发布, 2室1厅 , 共1次带看 
余杭, 102.97平米 ,36人关注 ,310,亲亲家园一期 3室2厅 310万,亲亲家园一期 ,https://hz.lianjia.com/ershoufang/103102010637.html,单价30106元/平米, 13天以前发布, 3室2厅 , 共22次带看 
余杭, 145.55平米 ,29人关注 ,415,亲亲家园大四房，满五年唯一，随时看房,亲亲家园二期 ,https://hz.lianjia.com/ershoufang/103101951428.html,单价28513元/平米, 1个月以前发布, 4室2厅 , 共11次带看 
余杭, 149.84平米 ,104人关注 ,295,盛世嘉园，满五唯一，无按揭，带装修单价19687,盛世嘉园 ,https://hz.lianjia.com/ershoufang/103101785561.html,单价19688元/平米, 2个月以前发布, 3室2厅 , 共31次带看 
余杭, 87.26平米 ,16人关注 ,205,此房买进满五年，舒适两房可改三房,逸居城 ,https://hz.lianjia.com/ershoufang/103101991552.html,单价23494元/平米, 20天以前发布, 2室2厅 , 共6次带看 
余杭, 87.69平米 ,57人关注 ,230,西边套 三房好户型 精装修 次卧客厅带飘窗主卧带阳台,复地连城国际 ,https://hz.lianjia.com/ershoufang/103101647633.html,单价26229元/平米, 4个月以前发布, 3室2厅 , 共24次带看 
余杭, 89平米 ,50人关注 ,380,良渚文化村白鹭郡南 2室2厅 380万,良渚文化村白鹭郡南 ,https://hz.lianjia.com/ershoufang/103090171062.html,单价42697元/平米, 一年前发布, 2室2厅 , 共12次带看 
余杭, 109平米 ,75人关注 ,205,满五唯一、送阁楼、精装、储藏室、 三开间朝南、框架,百合苑 ,https://hz.lianjia.com/ershoufang/103101501407.html,单价18808元/平米, 5个月以前发布, 5室2厅 , 共14次带看 
余杭, 137.84平米 ,81人关注 ,427,亲亲家园三期 人车分流 改善性住房 环境优美 诚心出售,亲亲家园三期 ,https://hz.lianjia.com/ershoufang/103101695855.html,单价30978元/平米, 3个月以前发布, 3室2厅 , 共12次带看 
余杭, 117.12平米 ,22人关注 ,300,铭雅苑西位置优越，交通方便，东边套，大三房全明户型,铭雅苑西区 ,https://hz.lianjia.com/ershoufang/103101493094.html,单价25615元/平米, 5个月以前发布, 3室2厅 , 共37次带看 
余杭, 110平米 ,24人关注 ,265,"天阳棕榈湾,楼层好，位置好，价格包车位",天阳棕榈湾一期 ,https://hz.lianjia.com/ershoufang/103101804637.html,单价24091元/平米, 2个月以前发布, 3室2厅 , 共11次带看 
余杭, 142.54平米 ,136人关注 ,195,满五年 大跃层  户型方正  看房方便 房东诚心出售,广厦天都城天风苑 ,https://hz.lianjia.com/ershoufang/103101067152.html,单价13681元/平米, 9个月以前发布, 4室2厅 , 共23次带看 
余杭, 139.92平米 ,23人关注 ,360,良渚文化村白鹭郡北 3室2厅 360万,良渚文化村白鹭郡北 ,https://hz.lianjia.com/ershoufang/103101923576.html,单价25729元/平米, 1个月以前发布, 3室2厅 , 共6次带看 
余杭, 113平米 ,375人关注 ,218,南北双阳台现代化装修，无增值税无个税。,爵士风情花园 ,https://hz.lianjia.com/ershoufang/103101243808.html,单价19293元/平米, 8个月以前发布, 3室2厅 , 共34次带看 
